labelcode,cutword
37,交通 維持 捷運 萬 大線 車站 工程 發包 施工 現況 目前 辦理 進度
50,地政 士得 執行 業務
97,捐贈人 請 新建 工程處 代為 辦理 土地 捐贈 移轉 事宜 之期程 為何
70,公車專用道 有無 特定 時間 開放 大小 客車 行駛
105,迪化 污水處理 廠 附設 休閒 運動公園 運動 設施 收費 情形
9,大龍 老人 住宅 問答集
76,可於 哪裡 查詢 房屋 是否 海砂屋
32,失智症 個案 還能 開車 騎 機車 是否 保有 能力
20,家中 未滿 二十歲 涉毒 少年 身為 家屬 想要 釐清 家中 藥癮 藥物濫用 情況 是否 提供 尿液 篩檢 試劑 檢驗 服務 機構
109,土壤液化
43,身分證 遺失 時 辦理 掛失 方式 身分證 已 辦理 掛失 之後 身分證 可否 取消 掛失手續
11,申請 衛生 福利部 補助 社區發展 工作 申請 辦法
42,工友 含 技工 駕駛 特別 休假 遞 延至 次年 實施
0,古蹟 週邊 開發 行為 限制
59,勞資 會議 勞資 代表 出缺 時要 處理
85,政府 興建 公共 工程 期間 是否 減免 房屋 稅
40,校園霸凌 事件調查 處理 資料 是否 交由 當事人 協助 調查 之人 閱覽
98,我要 辦理 交通 違規 案件 移轉 實際 駕駛 人 違規 駕駛 卻 收到 紅單 舉發 時間 地點 根本 不在 那裡 需要 攜帶 文件
60,機電 設施 捷運系統 電 扶梯 是否 發生 倒 滑 事件
40,學校 調查 處理 校園霸凌 事件 時 相關 資料 是否 保密
42,天然 災害 停止 上班 上課 作業 問答 資料
34,捷運 高 運量 系統 遇 地震 發生 時有何 應變措施
50,日據 時期 會社 組合 名義 登記 土地 部分 股東 繼承人 申請 更正 登記 全體 股東 有時 得否 申請 繼承 登記
78,河濱公園 設施 損壞 處理方式
85,房屋 稅 納稅 義務人
142,如欲向 建築 管理 工程處 查詢 土地 是否 建築 執照 法定 空地 應 檢附 資料
28,申請 都市計畫 道路 規劃 標高 水準點 資料
59,狀況 需要 勞動局 報 勞資 會議
141,南門市場 廣場 是否 承租 擺攤
116,數人 共同 承 買的 不動產 負責 申報
106,污水 廠 回饋 地方 經費 計算
110,助 妳 好孕 請問 國外 出生 小孩 領取 生育 獎勵 萬元
85,房屋 陽台 外圍 加建 鋁窗 玻璃窗 未 隔成 房間 使用 外牆 未 打通 課徵 房屋 稅
64,替代役 申請 申請 替代役
39,北市 公立 幼兒園 下午 四點 下課 單親 雙薪 家庭 無法 接送 是否 一定 統一 規定 本局 補助 是否 最低 人數 限制 問題
32,請問 使用 兒童 醫療 補助 證
131,山坡地 開發 未 設置 排水系統 致 雨水 漫流 路面 問題
22,繳款 證明 正本 遺失 時 辦理 退款
148,公園 可否 餵食 鴿子 鳥類
92,請問 民眾 檢舉 污染環境 行為 獎勵金 領取 規定 為何 承辦 單位 聯絡 窗口 為何
75,救護 技術員 証 遺失 補辦
24,勞資爭議 調解 成立 申請 仲裁
59,職工 福利金 儲存 金融機構 有無 限制
126,藥商 申請 藥物 含 藥品 醫療 器材 廣告 審查 應 準備 何種 文件 資料
133,我用 智慧型手機 臺北 公眾 區 免費 無線 上網 無法 開啟 網頁
44,使用 牌照稅 是否 日 計徵
140,民眾 參與 木柵 垃圾 焚化 廠 廢棄物 進廠 檢查 作業 注意事項
6,低收入 戶 房租 補助 申請 單位
26,網路 建築 線 指示 申請 案件 成果 領取
17,兒童 牙齒 塗 氟 補助 對象 方式
55,檢舉 非法 外勞
143,外縣市 介聘 教師 相關 訊息 應 查詢 申請 相關 申請 手續
21,熊 讚 主題 館 續展 請問 未來 還會 周邊 商品
118,借閱 證 證號 密碼 為何
32,身心障礙 證明 申請 進度 相關 問題
20,辨識 朋友 家人 是不是 藥物濫用
38,發生 強烈 地震 大壩 潰壩
71,何謂 完成 寵物 登記 依據 哪條 法規 動物 強制性 辦理 寵物 登記 辦 現行 收費 標準 飼主 不替 犬貓 辦理 寵物 登記 罰責
98,更改 罰單 寄送 地址 寄至 通信地址
45,原民風味館 開館 時間 為何
129,環境保護局 山水綠生態公園 開放 時間
84,公務員 違法 行為 國家賠償 責任 要件 為何 請求 國家賠償 應向 機關 提出
82,掩埋場 當地 里 相鄰 里 非 自來水 戶 申請 水費 補助
139,簽約 攜帶 物件 文件 為何
73,父母 因故 需要 出國 一年 想為 孩子 辦理 休學 請問 職校 申請 休學 回國 後 復學
138,何謂 犬貓 三合一 計畫 執行 未替 犬 隻 辦理 寵物 登記 定期 注射 狂犬病疫苗 可裁罰 我要 辦理 寵物 登記 及施 狂犬病疫苗
13,到達 臺北市立 陽明 教養院
91,欠稅 移送 執行 金額 較大 能否 開立 支票 繳納
2,接受 需求 評估 導致 目前 使用 補助 取消 福利 縮水
36,車禍 後 應 釐清 雙方 責任
20,家中 未滿 二十歲 涉毒 少年 身為 家屬 想要 釐清 家中 藥癮 藥物濫用 情況 是否 提供 尿液 篩檢 試劑 檢驗 服務 機構
143,學校 教評 檢討 超額 教師 時 正在 留職停薪 教師 是否 受 保障 不在 檢討 之列
94,社會 教育機構 法人 辦理 高級 中等 以下 學校 幼稚園教師 進修 認可 申請 辦理
24,計酬 按日計酬 部分 工時 勞工 是否 休息日 規定 適用
104,家庭暴力 保護 令 種類 申請 方式
38,翡翠水庫 位於 新北市 臺北市政府 管理
40,非屬 校園霸凌 事件 行為 人 學校 接獲 申請 檢舉 時 應 處理
35,為何 路邊 汽車 停車 格有 收費 無 收費
61,臺北市 他國 外 城市 關係
141,請問 申請 配租 公有 零售 市場 攤 鋪 位 須要 繳交 費用
0,台北 電影節 FAQ
133,我家 已有 ADSL 為何 市政府 還要 佈 建 網路
122,申請 本市 團體 辦理 客家文化 語言 相關 研習 計畫 補助
22,收到 被民眾 檢舉 舉發 違規 通知單 開單 日期 檢舉 日期 超過 日 申訴 免罰
138,動物 救援 電話 台北市 動物醫院
112,施工 圍上 圍籬 要備何 文件 申請 規定 圍籬 高度
42,天然 災害 停止 上班 上課 作業 問答 資料
21,北北基 好玩 卡 無限 暢遊 版 特色
5,申請 兒童 臨時 托育 補助 資格
108,動保處 是否 執行 臺北市 生態 調查 工作
118,換了 悠遊卡 借閱 證 是否 進入 智慧 圖書館 分館 借書
9,銀髮 友善 好 站 服務 據點
87,已 申請 網路 市民 帳號 並可 登入 成功 為何 進入 臺北 市民 點通 系統 還要 導回 網路 市民 補填 資料
83,古物 有分 等級
111,何謂 調解 造人
56,臺北市 動產 質借 處 營業時間
21,TaipeiFunPass 北北基 好玩 卡 附贈 使用 說明 外文版 獲得
115,民眾 參觀 內湖垃圾焚化廠 申請
103,少年 飲酒 是否 違法 警方 處理 流程 供應 少年 酒類 是否 違法 警方 處理 流程
27,收到 勞動局 逾 月 未 月 提撥 催繳 公文 處理
117,抵價 總面積
125,請問 住家 出入口 申請 劃設 紅線
92,處理 冷氣機 滴水 噪音 陳情 案件 民眾 較常 詢問 資料 為何
33,請問 索取 西門紅樓 活動 表 相關 訊息
28,現場 都市計畫 樁 位 申請 恢復
67,職業災害 報案 規範 為何
107,數位 學生證 遺失 補辦 相關 事宜
31,酒後 違規 駕車 處罰 為何
38,翡翠水庫 位於 新北市 臺北市政府 管理
19,校園 開放 臺北市學校 運動 設施 借用
6,離婚 人 申請 低收入 戶 計算所 方式
63,為何 Voting 非 行政 機關 提案 設定 天 附議 門檻
100,請問 臺北市 中山堂 餐飲服務 時間 洽詢 電話
70,市民 搭乘 公車 若為 車上 投現 使用 悠遊卡 年齡層 票價 為何
33,藝響 空間 專案 單位 聯絡人 電話
48,居家 醫療 照護 整合 計畫 藥品 領取 流程 方式
44,印花稅 課徵 範圍 為何
18,禁限建 捷運 系統結構 保障 已有 劃設 禁建 範圍 為何 需 劃設 限建 範圍 反易 造成 民怨
73,補發 國中 高中 申請 補發 畢業證書 應備 文件 為何
36,車禍 發生 時該 保障 權益
86,求償 權
55,外籍勞工 薪資 計算 是否 適用 勞動基準法 規定
28,網路 申請 建築 線 指示 辦理
2,個案 若安 置於 機構 是否 使用 失能 身心障礙 日間 照顧 中心 服務
105,迪化 內湖 八里 廠 處理方式 為何
32,IADL 失能 衰弱 申請 長 服務
126,請問 藥商 藥局 許可 執照 費 多少錢
129,環境保護局 廢棄物 處理 場內 設置 山豬窟 游泳池 開放 時間
13,臺北市立 陽明 教養院 醫療保健 服務
130,垃圾 焚化 處理 技術 北投 焚化 廠 管制 空污 排放
5,申請 特殊 境遇 家庭 扶助 收到 社會局 公文 回覆 審查 需要 多久 時間
57,取得 臺北市 公共場所 室內空氣品質 自主 管理 認證
122,申請 補助 臺北市 幼兒園 辦理 客語 教學 實施 計畫
78,得知 南深 陸閘 汛期 颱風 時來襲 期間 關閉 訊息
66,載運 列管 毒性 化學物質 車輛 是否 需 攜帶 運送 聯單
91,債權人 可否 稅捐稽徵 處 申請 查調 債務人 財產 所得 資料
136,申請 工廠 登記 是否 應 檢附 土壤污染 檢測 評估 調查 檢測 資料
83,續修 臺北市 志 纂修 之起 年代 為何 內容 包含 幾志
51,是否 心肺復甦 術 CPR 自動 體外 電擊 器 AED 訓練
134,民眾 反映 市場 銷售 人員 態度 事宜
98,開紅 單時 稽查人員 代 保管 證件 車牌 送到 裁決
101,勞動 教育經費 補助 課程 範圍
83,臺北市立文獻館 培訓 解說 志工
120,小朋友 學區 額滿 學校 學校 分發 上有
125,請問 停車場 出入口 申請 劃設 紅線
23,性 傾向 歧視
52,運動 中心 游泳池 是否 使用 蛙鞋
114,市民 所屬 車輛 遭 車體 明顯 處 張貼 移車 勸導 後 若該 車輛 使用 需求 後續 應 處理
134,傳統市場 禁宰 活禽 政策 免於 屠宰場 屠宰 情形
62,申請 建物 測量 規費 計收
10,臺北市 補助 創業 團隊 出國 參與 創業 計畫 申請 核銷 應備 文件 為何
117,申請 發給 抵價
29,住戶 在家 裡 抽菸 並開 家門 飄散 公共空間 處理
147,我家 水費 上有 污水下水道 使用費 水費 金額 算
45,原住民 學生 營養午餐 補助 申請
108,天母 古道 健走 遇到 臺灣獼猴 處理
110,參加 聯合 婚禮 贈送 禮物
13,申請 借用 陽明 教養院 場地 設備
7,為何 訂定 工商業 節能減碳 輔導 管理 自治 條例
34,目前 臺北捷運車站 增設 月臺 門 進度
104,性 侵害 遭受 性 侵害 時 單位 求助 警察機關 保護措施 流程
31,已 代收 機構 繳納 交通 違規 罰 鍰 為何 網路 查詢 時 違規 紀錄
44,車籍 在外 縣市 戶籍 臺北市 可否 臺北市 申辦 免徵 使用 牌照稅
95,經由 臺北市政府 市民 熱線 獲得 水處 服務
98,更改 罰單 寄送 地址 寄至 通信地址
114,未 懸掛 號牌 車輛 停放 本市 道路 處理 機關 程序 為何
2,身心障礙者 房屋 租金 補貼 應備 文件
38,翡翠水庫 目前 水質 情況
42,約定 後 駕駛 例假日 可不可以 上班
130,廢棄物 代 處理 申請 處理 廢棄物 事業廢棄物 費用 計算
89,請問 天文館 停放 大型 遊覽車
8,貧困家庭 家人 往生 錢 安葬
79,請問 得知 田園城市 基地 認養 相關 資訊
65,環保局 未 使用 專用 垃圾袋 將以 何種 方式 處理
122,申請 補助 臺北市 幼兒園 辦理 客語 教學 實施 計畫
103,民眾 自行車 失竊 警察機關 報案 須備 妥 資料 自行車 辦理 防竊 登記 辦理 登記 有何 好處 未 民眾 財產 自主 登錄 系統 登錄 自行車 辨識 碼時 自行車 是否 已為 警方 破獲
89,請問 學生 天文館 參加 公共服務 應 攜帶 證件
115,內湖垃圾焚化廠 葫蘆 洲 運動公園 設施 項目
120,國外 回來 外國籍 學童 國 小學生 應 申請 就讀 公立 小學
121,報名 後 選員 標準 為何
108,長輩 處 獲贈 支 象牙 貴府 核發 公文 登記卡 俱全 請問 我可以 賣掉 變現
77,請問 青發 處直 排輪 場地 開放 時間 為何 費用 是否 提供 直排 輪 用具 租借
4,長者 預防 走失 手鍊 身心障礙者 防 走失 手鍊 有何
114,未 懸掛 號牌 車輛 停放在 門前 停車 格位 尚無 嚴重 妨礙交通 為何 遭 執勤 員警 製 舉發 拖吊 移置 本市 處理 未 懸掛 號牌 堪用 車輛 之法 源 依據 為何
30,參加 鄰里 交通 改善 計畫 里 民有 什 好處
148,違反 臺北市公園 管理 自治 條例 違規 行為 人不願 配合 取締 處置
93,社區 規劃師 工作室 開放 時間 地點
79,關渡 花海 活動 時間 地點 為何
140,民眾 參與 木柵 垃圾 焚化 廠 廢棄物 進廠 檢查 作業 資格 限制
72,兵役 請問 國民兵 證書 遺失 應 申請 補發
80,臺北市政府 進一步 自動駕駛 小巴 規劃
66,事業 設立 辦理 水污染 防治 申請
65,遭 環保局 拖吊 廢棄 車輛 應 查詢 領回 提起 申訴 陳情
77,請問 青少年 發展 處 開放 時間
94,補發 請問 教師證 遺失 補發 申請 程序
63,本府 反映 公務 相關 意見 系統 市府 員工 有何 作用
129,環境保護局 廢棄物 處理 場內 設置 山豬窟 游泳池 開放 時間
66,自來水 水塔 維護 檢查 重點 為何
69,健保 領有 身心 殘障 手冊 健 保費 是不是 補助
120,國小 新生報 日 後設 籍者 應 辦理 入學 手續
50,何謂 限制 登記 限制 登記 哪幾種
85,因故 將全戶 戶籍 遷至 處後再 遷回 影響 地價稅 自用 住宅 稅率 需不需要 重新 提出申請
147,我家 接用 污水下水道
118,館際合作 申請 費用 計算
3,未滿 歲 兒少 可否 從事 酒家 特種 咖啡 茶室 限制級 電子遊戲 場 賭場 成人 情趣用品 店 或有 涉及 暴力 色情 危害 兒少 身心 場所 從業人員
73,所謂 居住 事實
139,得標 廠商 環境保護局 簽訂契約
52,臺北 青少年 桌球 公開賽
108,查詢 土地 是否 位於 本市 野生動物保護區 野生動物 重要 棲息 環境 檢附 資料
114,申請 利用 道路 舉辦 臨時 活動 參考資料 下載 交通局 部分
111,參加 金銀 紙錢 集中 焚燒
18,機電 設計 請 說明 捷運 文湖線 列車 舊有 木柵 線 列車 差異性
119,騎樓 道路 用地 政府 核准 之有證 攤販 營業 時 土地 所有權 人 可否 請求 廢止 攤販 營業 許可證 須依 何種 程序 辦理
111,若想 申請 傑出 市民 應要 申請 應備 文件 為何
88,收到 房屋 稅 稅單 疑問 想 請教 相關 問題
59,公司 老闆 員工 選派 勞資 會議 勞資雙方 代表
114,使用 道路 舉辦 臨時 活動 應於 提出申請 交通局 部分 文化局 請 自行 另洽
104,請問 婦幼 安全 叫車 專線 為何
49,美耐皿 餐具 表面 刮痕 裂縫 遇 熱食 容易 溶出 哪種 化學物質
67,職業災害 勞工 保護法 中有 否 提供 辦理 職業災害 預防 職業災害 勞工 重建 補助 申請
95,溫泉水 衛生標準 為何
76,室內 裝修 申辦 程序 為何 住宅 裝修 是否 簡便 申辦 措施
113,士林 陽明山 計程車 共乘 搭乘 共乘 營業時間
138,動物 救援 電話 台北市 動物醫院
134,民眾 反映 市場 銷售 人員 態度 事宜
87,愛 台北 如有 相關 問題 諮詢
125,請問 停車場 出入口 申請 劃設 紅線
53,經濟部商業司 公司 登記 歸屬於 生物技術 服務業 營業項目 代碼 IG 事業單位 所屬 實驗室 研究室 研發 人員 以上 適用 勞動基準法 條之 工作者 工時 限制 為何
147,我家 接用 污水下水道
4,查詢 臺北市 老人 福利 機構 名單 床位 狀況
1,臺北 內湖科技園區 目前 允許 進駐 產業 查詢 管道
14,農委會 公告 國家 進口 農產品 農產 加工品 想 國內 有機 名義 販賣 一定 申請 核發 有機 標示 同意 文件
60,機電 設施 捷運系統 電 扶梯 是否 發生 倒 滑 事件
41,債權人 可否 稅捐稽徵 處 申請 查調 債務人 連帶保證 人 財產 所得 資料
36,撤銷 鑑定 已 繳交 鑑定費 可否 退還
26,若要 申請 國宅 公設 證明 要向何 單位 申請 應備 文件
48,報稅 季節 醫院 看診 收據 不見 申請 補發 收費
19,暑期 游泳 跨校 參加
133,推動 光纖 到府案
17,老人 健康檢查 臺北市 受檢 名額 限制
6,國民年金 老年 保證 年金 每月 領 多少錢
115,液體 土壤改良劑 領用 有無 提供 容器 有無 限量
114,舉辦 臨時 活動 借用 本市 道路 應洽何 單位
50,地籍 清理 條例 規定 清理 限制 登記 所指 為何
4,支出 憑證 遺失 辦理 經費 核銷 事宜
124,身分 參加 全日制 職能 培育 請領 就業 促進 津貼 實施辦法 職業訓練 生活 津貼
13,臺北市立 陽明 教養院 醫療保健 服務
44,娛樂 稅 代徵 人 申請 停業 復業 具備 文件 或書表
0,請問 臺北市 老樹 保護 法源 內容 為何
140,物品 銷燬 機密文件 銷燬 申請 進 木柵 垃圾 焚化 廠 焚燒 能否 派車 搬運 費用 標準 為何
98,更改 罰單 寄送 地址 寄至 通信地址
5,衛福部 社家 署 父母 未 就業 家庭 育兒 津貼 臺北市 育兒 津貼 可否 併 領
47,退休 人員 子女 就讀 研究所 得否 發給 眷屬 實物 代金 眷屬 補助費
91,想 透過 語音 信用卡 繳稅 操作
103,遺失 身分證 需向 警察局 報案
80,本次 自動駕駛 小巴 實驗 是否 合法
55,請問 今年 共開 幾個 身心障礙者 職業訓練 班及 報名 參加
24,勞工 普通 傷病 假 請 病假 期間 工資 給付
132,何謂 成屋 履約保證
101,辦理 勞動 教育 每場 補助 經費
69,健保 加保 區公所 保費 金額
123,敬老 愛心 悠遊卡 片儲值 金額 不足 享有 市政府 補貼 優惠
113,計程車 是否 接受 使用 信用卡 支付 車資
17,接受 老人 健康檢查 花錢
102,區公所 下班時間 為何 是否 夜間 服務
82,環保局 垃圾 焚化 廠及 掩埋場 回饋 設施 游泳池 免費 對象 收費 標準
69,人文 信義公民會館 交通 資訊
47,因案 停 休 職 退保 留職停薪 選擇 退保 人員 復職 同日 辦理 退休 資遣者 得否 請領 養老 給付
87,為何 台北 點 僅限 臺北市 民集點 兌換
123,愛心 悠遊卡 每月 免費 點數 累計
118,圖書館 是否 舉辦 換書 活動
17,請問 兒童 健康 手冊 遺失 應 補發 看診 時 是否 需 攜帶 健康 手冊
27,事業單位 欲 訂定 工作 規則 勞動局 是否 提供 相關 範例 供參
132,耕地 租約 登記 出租人 承租人 他方 申請 登記 時 應 辦理
27,公司 如無 舊制 年資 員工 僱有 白領 外勞 請問 處理
134,批發市場 休市 日
3,申請 危機 家庭 兒童 少年 委託 安置 暨 收容 費用 補助
48,繳 不出 健 保費
130,北投 焚化 廠 是否 建立 監督機制 環保 團體 當地 居民 代表 參與
122,臺北市 客家 圖書 影音 中心 收藏 內容 為何
28,網路 建築 線 指示 申請 案件 辦理 情形 查詢
95,未 收到 遺失 水費 繳費 憑證
75,請問 醫院 醫事 人員 護理人員 藥師 營養師 心理 師外 執業 登記 註銷 變更 登記 應於 事實 發生 後 多久 辦理
28,申請 都市計畫 現況 地形圖
53,勞工 健康檢查 費用 應由 負擔
2,非設籍 本市 實際 居住 本市 本市 申請 用電 優惠
52,民眾 是否 穿 室內拖鞋 進入 運動 中心 游泳池
101,勞動 教育經費 申請 是否 不予 補助 情況
21,平面媒體 刊載 性交易 廣告 處理
32,定義 衰弱 長者
99,工商 憑證 申請 公司 登記 資料 影印 需備 資料
61,秘書 處志工 服務項目 為何
95,請問 申請 電子 帳單 準備 證件 有何 限制
7,經營 中 加油 氣 站 變更 申請 辦理
119,有證 攤販 申請 變更 許可證 名義 營業 地點 營業項目 應 準備 資料
1,中小企業 融資 貸款 請問 貸款 申請 資格 為何 申請 金額
11,申請 籌組 人民團體 應向 單位 提出
41,請問 臺北市 稅捐處 萬華 分處 電話 地址
1,臺北 內湖科技園區 產業 進駐 問題 可向何 單位 洽詢
68,臺北市殯葬管理處 提供 治喪 服務項目 為何
134,臺北 花卉 批發市場 俗稱 台北 花市 位置 營業時間 聯絡 電話
103,請問 臺北市政府警察局 手機 建檔 方案 登錄 建檔 需要 收費 登錄 建檔 個資 外洩 建檔 方案 對象 是否 僅限 臺北市 市民
121,無法 登入 會員
131,住家 淹水 受災戶 可否 尋求 救助
116,將填妥 申報 書 郵寄 地政事務 申報 登錄 處 辦理
53,教育法 規 辦理 考試 之闈 人員 以上 適用 勞動基準法 條之 工作者 工時 限制 為何
71,臺北市 提供 載運 寵物 服務 車隊
17,請問 臺北市政府衛生局 是否 針對 學齡前 兒童 做 視力 斜 弱視 篩檢
143,學校 教職員 文康活動 辦理 依據 辦理 時間
68,非 本市 市民 申請 樹 花葬
85,公共設施 保留地 可不可以 申請 自用 住宅 用地 率 課徵 地價稅
131,瞭解 市區 過去 曾 積水 地點 應 查詢
117,區段 徵收 範圍 土地 設定 地上權 不動產 役權 地役權 農育權 永 佃權 設定 抵押權 典權 登載 有限 制 登記 土地 所有權 人 申請 發給 抵價 地應 提出 何種 證明文件
25,登革熱 噴藥 前有 注意事項
120,若因 郵差 投遞 錯誤 出國 未 收到 額滿 學校 資格 審查 通知單 未能 前 參與 額滿 學校 資格 審查 作業 應 補救
147,污水下水道
116,假設 買賣 案件 登記 完畢 買賣 案件 申報 登錄 期限 一日 為何
29,請問 住 大樓 市政府 申請 報備
133,室內 公共場所 網路 訊號 理想
121,欲 報名 平日 公假 班期 時 是不是 任何人 皆 進行 局處線 報名
17,自稱 健康 服務中心 訪員 家中 提供 服務 辨識 身分 疑問 時 單位 詢問 確認
104,避免 遭受 性騷擾
4,長者 預防 走失 手鍊 身心障礙者 防 走失 手鍊 有何
29,住戶 家中 長期 漏水 修繕 處理
95,繳款 人 用戶名 資格 領獎
91,没有 收到 當年度 定期 開徵 使用 牌照稅 房屋 稅或 地價稅 稅單 可否 直接 便利商店 補單 繳納 稅款
31,未滿 歲 駕駛 小型車 機車 應 辦理
43,父親 非 原住民 我的母親 原住民 我要 擁有 原住民 身分
4,市民 代賑 工薪 津 撥付 事宜
70,何謂 市民 小巴 計費
64,兵籍 調查 兵籍 調查 申辦 時間 辦理
89,請問 天文館 提供 參觀 學習 導覽 手冊 需要 收費
42,天然 災害 停止 上班 上課 作業 問答 資料
82,樹葉 花材 茶葉 殘渣 咖啡 殘渣 甘蔗渣 中藥 殘渣 廚餘 回收
123,哪裡 查詢 完成 記名 學生 悠遊卡 身分 優惠 期限
22,已 改名 退款 申請書 姓名 欄位 應 填寫
50,地契 證明 是否 土地 所有權狀 房屋 所有權狀 相同
45,請問 想 部落 大學 族語 課程 哪裡 上課 條件 年齡 時間 地點
95,臺北自來水事業處 營業 章程 中華民國 臺北市政府 府 授水 企字 號函 核定 北市 水企字 號 公告 修正 並自 實施
40,校園霸凌 事件 行為 長 法定 代理人 應負 法律責任
122,臺北市 客家 圖書 影音 中心 開放 借閱 時間
68,火化 遺體 可否 選擇 進 火化 爐 時間
67,事業單位 是否 拒絕 勞動 檢查
144,已 發放 補償費 因故 未 領取 時會
18,禁限建 依限建 規定 建物 新建 改建 須經 建管 單位 捷運局 共同 審查 是否 增加 取得 建照 時程 無法 取得 建照 情形
96,補習班 學生 交通車 申購
113,申訴 計程車 駕駛 違規 違法 行為
5,考保母 人員 技術 士證 洽辦 單位 為何
30,若遇 消防局 規劃 消防通道 搶救 不易 狹小 巷道 紅 黃 藍區 處理
131,排水 審查 應 申辦
133,我用 臺北 公眾 區 免費 無線 上網 遇到 問題 詢問
96,申請 補發 短期 補習班 立案 證書 應備 文件
128,坐輪椅 推 娃娃車 搭 遊園 列車 參觀 大貓熊 是否 免 排隊
147,當初 施做 污水下水道 用戶 接管 時 未將 地下室 原有 化糞池 廢除 處理
68,為何 辦理 櫃 多罐
102,取得 里 鄰 分佈 圖
43,本市 門牌 整 改編 規定
22,罰 鍰 重繳 溢繳 誤繳 時 辦理 退款 退款 需要 幾天 辦理
62,臺北市 各地 政 事務所 地籍圖 建物 測量 成果 圖 謄本 可否 跨所 申請
9,申請 失 能者 生活 輔助 器具 居家 無障礙環境 改善 補助 應備 文件 為何
115,液體 土壤改良劑 是否 焚化 廠 自行 製作 產 製
146,颱風天 路 樹 砸傷 是否 申請 國賠
56,質借單 當票 遺失 應 處理
100,中山堂 售票 節目 購票
37,交通 維持 捷運 信義線 東延段 主要 工程 內容 特色 為何
14,產銷 履歷 消費者 價值 為何
72,社會 請問 辦理 身心障礙 證明 應 具備 證件
65,本地 位處 縣市 交界 時有 外縣 市民 眾 攜帶 垃圾 棄 置於 本地 請 說明 外縣 市民 眾在 本市 投遞 垃圾 是否 亦 應 使用 專用 垃圾袋
104,保護 令 種類 及聲 請
47,駕駛 加班費 小時 支給 費額 計算
16,本市 身心障礙 教育 相關 措施 應向 諮詢
113,士林 陽明山 計程車 共乘 人數 最長 等候 時間
55,雇主 要聘僱 外籍 學生 從事 工作 進用 程序 上要 注意 外籍 學生 應該 具備 證件 合法 工作
32,請問 胎 以上 兒童 醫療 補助 證之 申請 資格 為何
145,請問 臺北市立美術館 辦理 美術 夏令營
135,臺北市動物之家 開放 時間 為何
52,世界大學運動會 舉辦 迄今 國家 城市 主辦
122,臺北市 客家 圖書 影音 中心 開放 借閱 時間
45,參加 臺北市 原住民 族 兒童 暨 少年 合唱團
37,交通 維持 捷運 萬 大線 第一期 工程 南區 工程處 負責 監造 工程 範圍 車站 位置
3,未滿 歲 兒少 可否 觀看 使用暴力 色情 猥褻 電腦 遊戲 軟體
126,我要 單位 上班 營養師 需到 衛生局 辦理手續 準備 證件 費用 繳費 多久 時間 一定 衛生局 辦理
57,請問 航空 噪音 防制 經費 補助 應 申請 申請 金額
148,請問 公園 泳池 開放 時間 地點 票價
26,國民住宅 條例 廢止 產權 移轉 事項 辦理
90,藝文 推廣 處 藝文 大樓 文化 藝術 研習班 報名 時間 開課時間 上課時數
77,請問 青發 處 場館 設備 規格 得知
58,營建 署 列管 山坡地 住宅 社 區分 級 社區 代表 意思
105,迪化 廠 生水 提供 外界 取用 地點 時間 管徑 流程 為何 是否 需 事先 申請 是否 需 收費
120,戶籍 學生 父母 離異 目前 住 外祖母 家 戶籍 仍未 遷入 外祖母 家 請問 國小 應 申請 分發
90,查詢 藝文 推廣 處 大稻埕戲苑 當日 演出 節目 內容 相關 票務 資訊
46,稅捐稽徵 機關 核發 行政處分 不服 可否 逕行 提起 訴願
26,國宅 貸款 利率 為何
133,目前 光纖 到府案 辦理 情形
76,何謂 地震 規模 規模 區分 地震 大小
131,道路 側溝 蓋 損壞 鬆動 遺失 反應 修復
122,臺北市 客家 圖書 影音 中心 開放 借閱 時間
127,狂犬病 傳染 途徑 為何
134,批發市場 休市 日
81,就業 需求者 哪裡 尋求 協助
144,道路 用地 還能 運用
110,助 妳 好孕 請問 國外 出生 小孩 領取 生育 獎勵 萬元
7,請問 瓦斯 管線 裝置 是否 需由 瓦斯 公司 施工
80,發展 自動駕駛 小巴 是否 一例一休 導致 勞動 人力 吃緊
55,雇主 原本 申請 外籍勞工 原因 消滅 看護 死亡 事情 需要 辦理
131,雨水 下水 道人 孔 啟閉 申請
33,藝文 團體 申請 市有 公用 房舍 相關 程序
69,健保 弟弟 剛由 軍中 退伍 健保
81,是否 投保 勞保
105,迪化 污水處理 廠 附設 休閒 運動公園 公共 藝術作品 設置 地點
22,請問 陳述 申訴 多久
20,施用 毒品 戒治 方法 藥癮 戒治 醫療機構 外 民間 戒毒 機構
12,市政 大樓 空調 使用 申請
148,臺北市公園 管理 自治 條例 主管機關 為何 管理 機關 為何
60,機電 設施 捷運系統 電 扶梯 是否 發生 倒 滑 事件
72,社會 社區發展 協會 若經 年 召開 理 監事 會員大會 妨害 權益 時 會員 應 主張 權益
64,軍人 權益 役男 入營 服役 後 家屬 生活 維持 市府 何種 補助 救濟
59,勞動局 報請 勞資 會議 勞資 代表 名冊 備查 是否 相關 文件 可供 下載 使用
23,思想 歧視
97,配合 公共 工程 拆遷 房屋 認定
124,報名 臺北市 職能 發展 學院 職能 培育 暨 職能 進修 課程 後 時會 是否 錄取
25,臺北市立聯合醫院 區院 外 門診部 提供 接種 公費 疫苗 免收 掛號費 診察 費
44,高爾夫球場 俱樂部 收取 會員證 轉讓 手續費 課徵 娛樂 稅
